"","DBN","School Name","Average Score Regents Algebra","Percentage Passing Regents Algebra","Percentage at college ready threshold Regents Algebra","Average Score Regents Geometry","Percentage Passing Regents Geometry","Percentage at college ready threshold Regents Geometry","Average Score Regents Algebra 2/Trig","Percentage Passing Regents Algebra 2/Trig","Percentage at college ready threshold Regents Algebra 2/Trig","Average Score Regents English","Percentage Passing Regents English","Percentage at college ready threshold Regents English","Average Score Regents US History","Percentage Passing Regents US History","Average Score Regents Global History","Percentage Passing Regents Global History","Average Score Regents Chemistry","Percentage Passing Regents Chemistry","Average Score Regents Physics","Percentage Passing Regents Physics","Average Score Regents Earth Science","Percentage Passing Regents Earth Science","Average Score Regents Living Environment","Percentage Passing Regents Living Environment","Average Score Regents Languages Other Than English","Percentage Passing Regents Languages Other Than English"
"232","13K265","Dr. Susan S. McKinney Secondary School of the Arts","59","0.297","0","52","0.106","0.064","31","0","0","76","0.895","0.632","67","0.627","54","0.25",NA,NA,NA,NA,"57","0.309","65","0.602","77","0.879"
"233","13K350","Urban Assembly High School of Music and Art","63","0.5","0.068",NA,NA,NA,NA,NA,NA,"72","0.832","0.477","69","0.676","56","0.246",NA,NA,NA,NA,NA,NA,"61","0.449",NA,NA
"234","13K412","Brooklyn Community High School of Communication, A","61","0.441","0.01","52","0.151","0.023",NA,NA,NA,"69","0.748","0.405","65","0.64","61","0.472","57","0.217",NA,NA,"55","0.239","60","0.39",NA,NA
"235","13K419","Science Skills Center High School for Science, Tec","61","0.398","0.048","59","0.373","0.032","40","0.097","0","68","0.659","0.378","68","0.715","64","0.568","57","0.255",NA,NA,"59","0.403","68","0.641","84","1"
"236","13K430","Brooklyn Technical High School","81","0.997","0.556","88","0.997","0.884","83","0.886","0.653","89","0.999","0.981","95","0.999","92","0.999","78","0.923","81","0.899",NA,NA,"91","1","90","0.996"
"237","13K439","Brooklyn International High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","0.69","0.379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","13K483","The Urban Assembly School for Law and Justice","67","0.667","0.123","66","0.564","0.055","48","0.133","0.04","84","0.974","0.819","77","0.839","77","0.822",NA,NA,NA,NA,"61","0.563","67","0.661",NA,NA
"239","13K499","ACORN Community High School","66","0.522","0.096","51","0.125","0.021","44","0.105","0","66","0.582","0.32","64","0.565","65","0.574",NA,NA,NA,NA,"56","0.299","63","0.504","88","1"
"240","13K527","Urban Assembly Institute of Math and Science for Y","63","0.483","0.046","61","0.404","0.019",NA,NA,NA,"74","0.845","0.549","67","0.597","65","0.57",NA,NA,NA,NA,"63","0.473","70","0.719","89","1"
"241","13K595","Bedford Academy High School","75","0.973","0.2","85","0.984","0.81","74","0.826","0.217","86","1","0.98","89","1","84","1","73","0.973",NA,NA,"77","0.973","83","0.976","85","1"
