Name,Sub,Score
QUEENS METROPOLITAN HIGH SCHOOL,Writing,449
"Queens High School of Teaching, Liberal Arts and t",Writing,439
Queens High School for the Sciences at York Colleg,Writing,625
Queens High School for Language Studies,Writing,NA
"Queens High School for Information, Research, and",Writing,352
Queens Gateway to Health Sciences Secondary School,Writing,514
Queens Collegiate: A College Board School,Writing,441
PROGRESS High School for Professional Careers,Writing,384
Professional Performing Arts High School,Writing,516
Preparatory Academy for Writers: A College Board S,Writing,393
Port Richmond High School,Writing,425
Performing Arts and Technology High School,Writing,394
Pelham Preparatory Academy,Writing,425
Pelham Lab High School,Writing,NA
Peace and Diversity Academy,Writing,365
Pathways in Technology Early College High School (,Writing,410
Pathways College Preparatory School: A College Boa,Writing,409
Park Slope Collegiate,Writing,395
Park East High School,Writing,435
Pan American International High School at Monroe,Writing,292
Pan American International High School,Writing,318
Pace High School,Writing,427
Pablo Neruda Academy,Writing,383
Origins High School,Writing,NA
Ocean Hill Collegiate Charter School,Writing,NA
NYC iSchool,Writing,503
"NYC Charter High School for Architecture, Engineer",Writing,380
Northside Charter High School,Writing,402
Newtown High School,Writing,389
Newcomers High School,Writing,381
New World High School,Writing,358
New Visions Charter High School for the Humanities,Writing,369
New Visions Charter High School for Advanced Math,Writing,416
New Utrecht High School,Writing,417
New Heights Academy Charter School,Writing,406
New Explorers High School,Writing,376
"New Explorations into Science, Technology and Math",Writing,601
New Dorp High School,Writing,444
New Design High School,Writing,372
Nelson Mandela High School,Writing,NA
N.Y.C. Museum School,Writing,522
N.Y.C. Lab School for Collaborative Studies,Writing,555
Murry Bergtraum High School for Business Careers,Writing,398
Multicultural High School,Writing,284
Mott Haven Village Preparatory High School,Writing,369
Mott Hall V,Writing,414
Mott Hall High School,Writing,440
Mott Hall Bronx High School,Writing,398
Morris Academy for Collaborative Studies,Writing,386
Monroe Academy for Visual Arts & Design,Writing,351
Millennium High School,Writing,567
Millennium Brooklyn HS,Writing,539
Millennium Art Academy,Writing,395
Midwood High School,Writing,516
Middle College High School at LaGuardia Community,Writing,377
