"","DBN","School Name","Average Score ACT Math","Percentage of 4-year Cohort Taking ACT Math","Percentage College Ready ACT Math","Average Score ACT English","Percentage of 4-year Cohort Taking ACT English","Percentage College Ready ACT English","Average Score ACT Reading","Percentage of 4-year Cohort Taking ACT Reading","Average Score ACT Science","Percentage of 4-year Cohort Taking ACT Science"
"176","28Q167","Metropolitan Expeditionary Learning School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","17K590","Medgar Evers College Preparatory School",NA,"0.059","1",NA,"0.059","1",NA,"0.046",NA,"0.059"
"178","29Q492","Mathematics, Science Research and Technology Magne",NA,"0.033","0",NA,"0.033","1",NA,"0.022",NA,"0.033"
"179","84K733","Math, Engineering, and Science Academy Charter Hig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","24Q585","Maspeth High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"181","26Q435","Martin Van Buren High School","18","0.09","1","15","0.09","1","18","0.09","18","0.09"
"182","01M509","Marta Valle High School",NA,"0.04","1",NA,"0.04","0",NA,"0.02",NA,"0.04"
"183","10X477","Marble Hill High School for International Studies",NA,"0.027","0",NA,"0.027","0",NA,"0.027",NA,"0.027"
"184","02M439","Manhattan Village Academy",NA,"0.173","1",NA,"0.173","1",NA,"0.074",NA,"0.173"
"185","03M283","Manhattan Theatre Lab High School",NA,"0.076","1",NA,"0.076","0",NA,"0.061",NA,"0.076"
"186","02M459","Manhattan International High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"187","02M280","Manhattan Early College School for Advertising",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","04M435","Manhattan Center for Science and Mathematics","23","0.198","1","20","0.198","1","22","0.146","21","0.198"
"189","02M392","MANHATTAN BUSINESS ACADEMY",NA,"0.02","0",NA,"0.02","0",NA,"0.01",NA,"0.02"
"190","02M542","Manhattan Bridges High School",NA,"0.025","1",NA,"0.025","1",NA,"0.016",NA,"0.025"
"191","02M427","MANHATTAN ACADEMY FOR ARTS & LANGUAGE",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"192","03M541","Manhattan / Hunter Science High School","25","0.224","1","22","0.224","1","22","0.196","22","0.224"
"193","07X223","M.S. 223 The Laboratory School of Finance and Tech",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","14K586","Lyons Community School",NA,"0.099","0",NA,"0.099","1",NA,"0.099",NA,"0.099"
"195","02M308","Lower Manhattan Arts Academy",NA,"0.128","1",NA,"0.128","1",NA,"0.128",NA,"0.128"
"196","30Q450","Long Island City High School","21","0.039","1","19","0.039","1","20","0.038","20","0.039"
"197","02M655","Life Sciences Secondary School","17","0.104","0","16","0.104","1",NA,"0.091","18","0.104"
"198","21K559","Life Academy High School for Film and Music",NA,"0.018","0",NA,"0.018","1",NA,"0.018",NA,"0.018"
"199","22K535","Leon M. Goldstein High School for the Sciences","24","0.21","1","23","0.21","1","23","0.135","23","0.21"
"200","02M429","Legacy School for Integrated Studies",NA,"0.05","0",NA,"0.05","0",NA,"0.05",NA,"0.05"
"201","09X276","Leadership Institute",NA,"0.02","0",NA,"0.02","0",NA,"0",NA,"0.02"
"202","02M425","Leadership and Public Service High School","19","0.093","1","18","0.093","1",NA,"0.037","19","0.093"
"203","29Q494","Law, Government and Community Service High School",NA,"0.027","0",NA,"0.027","0",NA,"0.027",NA,"0.027"
"204","02M419","Landmark High School",NA,"0.051","0",NA,"0.051","1",NA,"0.031",NA,"0.051"
"205","18K569","Kurt Hahn Expeditionary Learning School",NA,"0.012","0",NA,"0.012","0",NA,"0.012",NA,"0.012"
"206","10X374","Knowledge and Power Preparatory Academy Internatio",NA,"0.054","1",NA,"0.054","1",NA,"0.054",NA,"0.054"
"207","84M726","KIPP STAR College Prep Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"208","84M336","KIPP Infinity Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"209","84K357","KIPP AMP Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"210","84X704","KIPP Academy Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"211","10X268","Kingsbridge International High School",NA,"0.027","0",NA,"0.027","0",NA,"0.014",NA,"0.027"
"212","21K468","Kingsborough Early College School",NA,"0.025","1",NA,"0.025","1",NA,"0.013",NA,"0.025"
"213","84K608","Kings Collegiate Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"214","15K592","Khalil Gibran International Academy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","14K071","Juan Morel Campos Secondary School",NA,"0.069","0",NA,"0.069","0",NA,"0.069",NA,"0.069"
"216","09X414","Jonathan Levin High School for Media and Communica",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"217","84R067","John W. Lavelle Preparatory Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","21K540","John Dewey High School",NA,"0.025","1",NA,"0.025","1",NA,"0.025",NA,"0.025"
"219","25Q425","John Bowne High School","22","0.07","1","19","0.07","1","20","0.059","20","0.07"
"220","27Q480","John Adams High School","20","0.035","1","16","0.035","1","18","0.035","18","0.035"
"221","08X650","Jane Addams High School for Academic Careers",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"222","22K425","James Madison High School","22","0.143","1","18","0.143","1","19","0.128","21","0.143"
"223","28Q350","Jamaica Gateway to the Sciences",NA,"0.008","1",NA,"0.008","1",NA,"0.008",NA,"0.008"
"224","02M529","Jacqueline Kennedy Onassis High School","17","0.21","1","17","0.21","1","19","0.177","18","0.21"
"225","28Q157","J.H.S. 157 Stephen A. Halsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","18K563","It Takes a Village Academy","16","0.185","1","13","0.185","1","15","0.168","15","0.185"
"227","06M211","Inwood Early College for Health and Information Te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","10X342","International School for Liberal Arts",NA,"0.087","1",NA,"0.087","0",NA,"0.029",NA,"0.087"
"229","84X347","International Leadership Charter High School","16","0.5","1","14","0.5","1","16","0.5","14","0.5"
"230","24Q236","International High School for Health Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","02M438","International High School at Union Square",NA,"0.089","1",NA,"0.089","0",NA,"0.076",NA,"0.089"
"232","17K524","International High School at Prospect Heights","17","0.183","1","13","0.183","0","14","0.173","17","0.183"
"233","24Q530","International High School at LaGuardia Community C",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"234","21K337","International High School at Lafayette",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"235","07X334","International Community High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"236","17K544","International Arts Business School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"237","10X368","In-Tech Academy (M.S. / High School 368)",NA,"0.007","1",NA,"0.007","1",NA,"0.007",NA,"0.007"
"238","29Q243","Institute for Health Professions at Cambria Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","02M407","Institute for Collaborative Education","20","0.271","1","23","0.271","1",NA,"0.143","21","0.271"
"240","30Q502","Information Technology High School","19","0.082","1","15","0.082","1",NA,"0.047","18","0.082"
"241","84X345","Hyde Leadership Charter School",NA,"0.043","0",NA,"0.043","1",NA,"0.043",NA,"0.043"
"242","29Q498","Humanities & Arts Magnet High School",NA,"0.081","0",NA,"0.081","1",NA,"0.057",NA,"0.081"
"243","02M437","Hudson High School of Learning Technologies",NA,"0.026","1",NA,"0.026","1",NA,"0.026",NA,"0.026"
"244","07X500","Hostos-Lincoln Academy of Science",NA,"0.04","1",NA,"0.04","1",NA,"0.04",NA,"0.04"
